"Image_Presented","rawDT","SlideNumber","SubID","logDT","residDT","SequenceLocation","TwoAFC_Sum","TwoAFC_PropCorrect","SequenceNumber"
"Movies/Dog_2_A.mov",1.01573431491852,67,"A005",0.00678012462687065,0.166431516132849,"Slide3",1,0.2,17
"Movies/black.mov",0.59868448972702,68,"A005",-0.222801993087359,-0.0622173388613539,"Blank",1,0.2,17
"Movies/Dog_4_A.mov",1.01578187942505,69,"A005",0.00680046116445972,0.168310089818653,"Slide1",1,0.2,18
"Movies/Dog_4_B.mov",0.331790745258331,70,"A005",-0.479135732052747,-0.316709225112293,"Slide2",1,0.2,18
"Movies/Dog_4_A.mov",0.81567919254303,71,"A005",-0.0884806161273135,0.0748548579825857,"Slide3",1,0.2,18
"Movies/black.mov",0.515237629413605,72,"A005",-0.287992426607273,-0.123755718184008,"Blank",1,0.2,18
"Movies/Dog_1_A.mov",0.765535593032837,73,"A005",-0.116034612283292,0.0490957694310639,"Slide1",1,0.2,19
"Movies/Dog_1_B.mov",0.915736317634583,74,"A005",-0.0382295615743562,0.127787098131935,"Slide2",1,0.2,19
"Movies/Dog_1_A.mov",0.665325701236725,75,"A005",-0.176965699626707,-0.0100699973185726,"Slide3",1,0.2,19
"Movies/black.mov",0.615495264530182,76,"A005",-0.210775284075187,-0.0430076201818033,"Blank",1,0.2,19
"Movies/Dog_1_A.mov",0.565369665622711,77,"A005",-0.24766749688308,-0.0790348033214408,"Slide1",1,0.2,20
"Movies/Dog_3_B.mov",1.01588320732117,78,"A005",0.00684378144049395,0.176334716825172,"Slide2",1,0.2,20
"Movies/Dog_1_A.mov",0.598658204078674,79,"A005",-0.222821061499586,-0.0524785328615333,"Slide3",1,0.2,20
"Movies/black.mov",0.481988668441772,80,"A005",-0.316963171908574,-0.145775563889337,"Blank",1,0.2,20
"Movies/Dog_3_A.mov",0.698839783668518,81,"A005",-0.155622379396175,0.0164039244570721,"Slide1",1,0.2,21
"Movies/Dog_4_B.mov",0.681308686733246,82,"A005",-0.166656073740385,0.00620266854624071,"Slide2",1,0.2,21
"Movies/Dog_3_A.mov",0.649618625640869,83,"A005",-0.18734153164698,-0.0136564861764262,"Slide3",1,0.2,21
"Movies/black.mov",0.515369355678558,84,"A005",-0.287881408554552,-0.113376076820707,"Blank",1,0.2,21
"Movies/Dog_4_A.mov",0.732193827629089,85,"A005",-0.135373936527863,0.0399457792186158,"Slide1",1,0.2,22
"Movies/Dog_3_B.mov",0.647960603237152,86,"A005",-0.188451398939356,-0.0123230902650431,"Slide2",1,0.2,22
"Movies/Dog_4_A.mov",0.549521863460541,87,"A005",-0.260015023911325,-0.0830838055858044,"Slide3",1,0.2,22
"Movies/black.mov",0.48200449347496,88,"A005",-0.31694891304272,-0.139220363753403,"Blank",1,0.2,22
"Movies/Dog_2_A.mov",0.648781359195709,89,"A005",-0.187901636778932,-0.00938123371149435,"Slide1",1,0.2,23
"Movies/Dog_2_B.mov",0.798906028270721,90,"A005",-0.0975043017919129,0.0818025764069215,"Slide2",1,0.2,23
"Movies/Dog_2_A.mov",0.565380096435547,91,"A005",-0.247659484421599,-0.0675714140435822,"Slide3",1,0.2,23
"Movies/black.mov",0.565438330173492,92,"A005",-0.247614754709954,-0.0667506821425373,"Blank",1,0.2,23
"Movies/Dog_4_A.mov",0.664735436439514,93,"A005",-0.177351168766219,0.00428380633792416,"Slide1",1,0.2,24
"Movies/Dog_2_B.mov",0.632835328578949,94,"A005",-0.198709283968953,-0.01630841816748,"Slide2",1,0.2,24
"Movies/Dog_4_A.mov",0.581996440887451,95,"A005",-0.235079671205209,-0.0519178411598329,"Slide3",1,0.2,24
"Movies/black.mov",0.615396618843079,96,"A005",-0.210844894214377,-0.0269269433279983,"Blank",1,0.2,24
"Movies/Dog_3_A.mov",0.731319487094879,97,"A005",-0.135892853999495,0.0487764551275365,"Slide1",1,0.2,25
"Movies/Dog_4_B.mov",0.616307377815247,98,"A005",-0.210202633299226,-0.0247866498939875,"Slide2",1,0.2,25
"Movies/Dog_3_A.mov",0.531226992607117,99,"A005",-0.274719865788964,-0.0885618155152892,"Slide3",1,0.2,25
"Movies/black.mov",0.499504208564758,100,"A005",-0.301460848281339,-0.114565264005815,"Blank",1,0.2,25
"Movies/Dog_4_A.mov",0.598764777183533,101,"A005",-0.222743755297508,-0.0351150972807646,"Slide1",1,0.2,26
"Movies/Dog_4_B.mov",0.565364003181458,102,"A005",-0.247671846566933,-0.0593145043319079,"Slide2",1,0.2,26
"Movies/Dog_4_A.mov",0.515342772006989,103,"A005",-0.287903810817151,-0.0988221049514772,"Slide3",1,0.2,26
"Movies/black.mov",0.53203022480011,104,"A005",-0.274063694601497,-0.0842618784969688,"Blank",1,0.2,26
"Movies/Dog_2_A.mov",0.999193012714386,105,"A005",-0.000350611613700509,0.190167126854415,"Slide1",1,0.2,27
"Movies/Dog_4_B.mov",0.614523530006409,106,"A005",-0.211461483393802,-0.0202319465426361,"Slide2",1,0.2,27
"Movies/Dog_2_A.mov",0.816433370113373,107,"A005",-0.0880792526576833,0.10385802092396,"Slide3",1,0.2,27
"Movies/black.mov",0.431925743818283,108,"A005",-0.364590910180268,-0.171949900706865,"Blank",1,0.2,27
"Movies/Dog_3_A.mov",1.06584453582764,109,"A005",0.0276938630808103,0.221034666957429,"Slide1",1,0.2,28
"Movies/Dog_2_B.mov",1.23255002498627,110,"A005",0.0908045548333275,0.284841269559406,"Slide2",1,0.2,28
"Movies/Dog_3_A.mov",1.08248710632324,111,"A005",0.0344227321052955,0.229151530692762,"Slide3",1,0.2,28
"Movies/black.mov",0.798874616622925,112,"A005",-0.0975213778597085,0.0978957328420183,"Blank",1,0.2,28
"Movies/Dog_4_A.mov",0.481907308101654,113,"A005",-0.317036487593468,-0.120934782565855,"Slide1",1,0.2,29
"Movies/Dog_3_B.mov",0.698809385299683,114,"A005",-0.155641270895043,0.0411413633874527,"Slide2",1,0.2,29
"Movies/Dog_4_A.mov",0.515315115451813,115,"A005",-0.287927118433481,-0.0904671684519389,"Slide3",1,0.2,29
"Movies/black.mov",0.548725247383118,116,"A005",-0.260645057032067,-0.0625113545567523,"Blank",1,0.2,29
"Movies/Dog_2_A.mov",0.882349967956543,117,"A005",-0.0543591257451341,0.144444815240757,"Slide1",1,0.2,30
"Movies/Dog_3_B.mov",0.615380764007568,118,"A005",-0.210856083350072,-0.0113853697085144,"Slide2",1,0.2,30
"Movies/Dog_2_A.mov",0.615418672561646,119,"A005",-0.210829330858369,-0.0106952633482075,"Slide3",1,0.2,30
"Movies/black.mov",0.515335202217102,120,"A005",-0.287910190148153,-0.0871161415169904,"Blank",1,0.2,30
"Movies/Dog_4_A.mov",0.615434587001801,121,"A005",-0.210818100350607,-0.00936739830413799,"Slide1",1,0.2,31
"Movies/Dog_2_B.mov",0.73217636346817,122,"A005",-0.135384295368496,0.066719776461603,"Slide2",1,0.2,31
"Movies/Dog_4_A.mov",0.515375673770905,123,"A005",-0.287876084419943,-0.0851218833032246,"Slide3",1,0.2,31
"Movies/black.mov",0.565379500389099,124,"A005",-0.247659942272559,-0.044258810143438,"Blank",1,0.2,31
"Movies/Dog_4_A.mov",0.815679907798767,125,"A005",-0.0884802353017555,0.115564670902931,"Slide1",1,0.2,32
"Movies/Dog_1_B.mov",0.765478909015656,126,"A005",-0.116066770771474,0.0886187930493906,"Slide2",1,0.2,32
"Movies/Dog_4_A.mov",0.632102787494659,127,"A005",-0.199212294483375,0.00611085013635818,"Slide3",1,0.2,32
"Movies/black.mov",0.532049238681793,128,"A005",-0.274048173911212,-0.0680904864795472,"Blank",1,0.2,32
"Movies/Dog_3_A.mov",0.798950016498566,129,"A005",-0.0974803899449242,0.109108840353218,"Slide1",1,0.2,33
"Movies/Dog_2_B.mov",0.798862278461456,130,"A005",-0.0975280853413461,0.109689725152421,"Slide2",1,0.2,33
"Movies/Dog_3_A.mov",0.515316367149353,131,"A005",-0.287926063535888,-0.0800825989884062,"Slide3",1,0.2,33
"Movies/black.mov",0.431932300329208,132,"A005",-0.364584317762603,-0.156118089499545,"Blank",1,0.2,33
"Movies/Dog_1_A.mov",0.498703151941299,133,"A005",-0.302157886912201,-0.0930717501733433,"Slide1",1,0.2,34
"Movies/Dog_2_B.mov",0.632091581821442,134,"A005",-0.199219993555864,0.0104832308310605,"Slide2",1,0.2,34
"Movies/Dog_1_A.mov",0.698870062828064,135,"A005",-0.155603562798521,0.0547139621528924,"Slide3",1,0.2,34
"Movies/black.mov",0.565330505371094,136,"A005",-0.247697579272082,-0.0367685077456895,"Blank",1,0.2,34
"Movies/Dog_3_A.mov",0.832399547100067,137,"A005",-0.0796681647554554,0.131869731817591,"Slide1",1,0.2,35
"Movies/Dog_3_B.mov",0.715376317501068,138,"A005",-0.145465441247221,0.0666785906890796,"Slide2",1,0.2,35
"Movies/Dog_3_A.mov",0.698849856853485,139,"A005",-0.15561611945331,0.0571313894075816,"Slide3",1,0.2,35
"Movies/black.mov",0.532035648822784,140,"A005",-0.274059267012612,-0.0607109090057056,"Blank",1,0.2,35
"Movies/Dog_3_A.mov",0.615446925163269,141,"A005",-0.210809393752304,0.00313721571250875,"Slide1",1,0.2,36
"Movies/Dog_4_B.mov",0.615393579006195,142,"A005",-0.210847039477455,0.00369525329254139,"Slide2",1,0.2,36
"Movies/Dog_3_A.mov",0.465359479188919,143,"A005",-0.332211435253838,-0.117075998337005,"Slide3",1,0.2,36
"Movies/black.mov",0.465300410985947,144,"A005",-0.332266563867227,-0.11654049349493,"Blank",1,0.2,36
"Movies/Dog_3_A.mov",0.598772168159485,145,"A005",-0.222738394527497,-0.00642417343834084,"Slide1",1,0.2,37
"Movies/Dog_3_B.mov",0.615415751934052,146,"A005",-0.210831391919422,0.00606852459929771,"Slide2",1,0.2,37
"Movies/Dog_3_A.mov",0.548685848712921,147,"A005",-0.26067624065164,-0.0431930570284274,"Slide3",1,0.2,37
"Movies/black.mov",1.08255565166473,148,"A005",0.0344502316671126,0.252514280554857,"Blank",1,0.2,37
