Image_Presented,rawDT,SlideNumber,SubID,SequenceLocation,logDT,residDT,TwoAFC_Sum,TwoAFC_PropCorrect,SequenceNumber
Movies/BigAnimals13_B4.mov,1.282671571,86,A005,Slide2,0.108115469,0.087364644,3,0.6,22
Movies/BigAnimals13_B4.mov,1.332698584,87,A005,Slide3,0.124731936,0.104167185,3,0.6,22
Movies/black.mov,0.36441955,88,A005,Blank,-0.438398333,-0.458780777,3,0.6,22
Movies/BigAnimals06_A4.mov,1.150253892,89,A005,Slide1,0.060793711,0.040589925,3,0.6,23
Movies/BigAnimals10_B2.mov,1.466005802,90,A005,Slide2,0.166135689,0.146107025,3,0.6,23
Movies/BigAnimals10_B2.mov,0.898994088,91,A005,Slide3,-0.046243164,-0.066100135,3,0.6,23
Movies/black.mov,0.548667908,92,A005,Blank,-0.260690441,-0.280379042,3,0.6,23
Movies/BigAnimals06_A4.mov,1.49966836,93,A005,Slide1,0.175995229,0.156471773,3,0.6,24
Movies/BigAnimals13_B4.mov,1.015724897,94,A005,Slide2,0.006776098,-0.012585343,3,0.6,24
Movies/BigAnimals13_B4.mov,1.349372268,95,A005,Slide3,0.13013178,0.110929317,3,0.6,24
Movies/black.mov,0.4318977,96,A005,Blank,-0.364619109,-0.383665544,3,0.6,24
Movies/BigAnimals03_A2.mov,1.149301171,97,A005,Slide1,0.060433849,0.041540577,3,0.6,25
Movies/BigAnimals07_B1.mov,0.832269251,98,A005,Slide2,-0.07973615,-0.098479044,3,0.6,25
Movies/BigAnimals07_B1.mov,1.015808821,99,A005,Slide3,0.00681198,-0.01178324,3,0.6,25
Movies/black.mov,0.581994593,100,A005,Blank,-0.23508105,-0.253531227,3,0.6,25
Movies/BigAnimals59_A1.mov,1.466301084,101,A005,Slide1,0.166223156,0.147915465,3,0.6,26
Movies/BigAnimals07_B1.mov,1.399433851,102,A005,Slide2,0.145952375,0.127784682,3,0.6,26
Movies/BigAnimals07_B1.mov,1.182557702,103,A005,Slide3,0.072822341,0.054792224,3,0.6,26
Movies/black.mov,0.4978531,104,A005,Blank,-0.302898784,-0.32079368,3,0.6,26
Movies/BigAnimals06_A4.mov,1.683854699,105,A005,Slide1,0.226304613,0.208542644,3,0.6,27
Movies/BigAnimals10_B2.mov,1.76677835,106,A005,Slide2,0.247182069,0.229550793,3,0.6,27
Movies/BigAnimals10_B2.mov,0.531636536,107,A005,Slide3,-0.27438518,-0.291887937,3,0.6,27
Movies/black.mov,0.698068202,108,A005,Blank,-0.156102145,-0.173478503,3,0.6,27
Movies/BigAnimals05_A3.mov,1.817189932,109,A005,Slide1,0.259400322,0.242148297,3,0.6,28
Movies/BigAnimals13_B4.mov,0.965788364,110,A005,Slide2,-0.015118031,-0.032247735,3,0.6,28
Movies/BigAnimals13_B4.mov,0.531178355,111,A005,Slide3,-0.27475963,-0.291768976,3,0.6,28
Movies/black.mov,0.532844722,112,A005,Blank,-0.273399331,-0.290290233,3,0.6,28
Movies/BigAnimals06_A4.mov,1.115973473,113,A005,Slide1,0.047653871,0.030879548,3,0.6,29
Movies/BigAnimals07_B1.mov,1.349340081,114,A005,Slide2,0.130121421,0.113461854,3,0.6,29
Movies/BigAnimals07_B1.mov,0.94905287,115,A005,Slide3,-0.022709593,-0.039256181,3,0.6,29
Movies/black.mov,0.448575437,116,A005,Blank,-0.348164511,-0.364599854,3,0.6,29
Movies/BigAnimals05_A3.mov,1.08255136,117,A005,Slide1,0.03444851,0.018122719,3,0.6,30
Movies/BigAnimals07_B1.mov,1.266010046,118,A005,Slide2,0.102437152,0.086219259,3,0.6,30
Movies/BigAnimals07_B1.mov,0.798955262,119,A005,Slide3,-0.097477539,-0.113589148,3,0.6,30
Movies/black.mov,0.565311968,120,A005,Blank,-0.24771182,-0.263718722,3,0.6,30
Movies/BigAnimals06_A4.mov,1.249419332,121,A005,Slide1,0.096708221,0.080804484,3,0.6,31
Movies/BigAnimals13_B4.mov,1.549506903,122,A005,Slide2,0.190193515,0.174391438,3,0.6,31
Movies/BigAnimals13_B4.mov,0.531944036,123,A005,Slide3,-0.274134056,-0.289835945,3,0.6,31
Movies/black.mov,0.632137537,124,A005,Blank,-0.19918842,-0.21479156,3,0.6,31
Movies/BigAnimals03_A2.mov,1.332815051,125,A005,Slide1,0.124769888,0.109264091,3,0.6,32
Movies/BigAnimals13_B4.mov,1.999877572,126,A005,Slide2,0.30100341,0.285593579,3,0.6,32
Movies/BigAnimals13_B4.mov,1.182609558,127,A005,Slide3,0.072841385,0.057526175,3,0.6,32
Movies/black.mov,0.914771855,128,A005,Blank,-0.038687206,-0.053909111,3,0.6,32
Movies/BigAnimals05_A3.mov,1.050026178,129,A005,Slide1,0.021200127,0.006070238,3,0.6,33
Movies/BigAnimals11_B3.mov,0.949110448,130,A005,Slide2,-0.022683246,-0.037722378,3,0.6,33
Movies/BigAnimals11_B3.mov,0.581970811,131,A005,Slide3,-0.235098797,-0.250048406,3,0.6,33
Movies/black.mov,0.498741239,132,A005,Blank,-0.30212472,-0.316986014,3,0.6,33
Movies/BigAnimals59_A1.mov,1.532931685,133,A005,Slide1,0.185522801,0.17074864,3,0.6,34
Movies/BigAnimals07_B1.mov,0.732079148,134,A005,Slide2,-0.135441963,-0.150130149,3,0.6,34
Movies/BigAnimals07_B1.mov,0.748928189,135,A005,Slide3,-0.125559822,-0.140163168,3,0.6,34
Movies/black.mov,0.582113504,136,A005,Blank,-0.234992325,-0.24951194,3,0.6,34
Movies/BigAnimals59_A1.mov,1.382817864,137,A005,Slide1,0.140764981,0.126328009,3,0.6,35
Movies/BigAnimals10_B2.mov,0.931470871,138,A005,Slide2,-0.030830722,-0.045186119,3,0.6,35
Movies/BigAnimals10_B2.mov,0.899936914,139,A005,Slide3,-0.045787934,-0.0600628,3,0.6,35
Movies/black.mov,0.381819367,140,A005,Blank,-0.418142046,-0.432337406,3,0.6,35
Movies/BigAnimals05_A3.mov,1.449563026,141,A005,Slide1,0.161237103,0.147120245,3,0.6,36
Movies/BigAnimals11_B3.mov,1.199158072,142,A005,Slide2,0.078876435,0.064837096,3,0.6,36
Movies/BigAnimals11_B3.mov,0.915767431,143,A005,Slide3,-0.038214806,-0.052177592,3,0.6,36
Movies/black.mov,0.447777003,144,A005,Blank,-0.348938215,-0.362825395,3,0.6,36
Movies/BigAnimals59_A1.mov,1.300236821,145,A005,Slide1,0.114022461,0.100209959,3,0.6,37
Movies/BigAnimals07_B1.mov,1.032433987,146,A005,Slide2,0.013862293,0.000123558,3,0.6,37
Movies/BigAnimals07_B1.mov,0.614575148,147,A005,Slide3,-0.211425006,-0.225090867,3,0.6,37
Movies/black.mov,0.449419945,148,A005,Blank,-0.347347657,-0.360941521,3,0.6,37
Movies/BigAnimals03_A2.mov,1.249382019,149,A005,Slide1,0.096695251,0.083172524,3,0.6,38
Movies/BigAnimals10_B2.mov,1.265957355,150,A005,Slide2,0.102419076,0.088966642,3,0.6,38
Movies/BigAnimals10_B2.mov,0.448575944,151,A005,Slide3,-0.348164021,-0.361546991,3,0.6,38
Movies/black.mov,0.532064259,152,A005,Blank,-0.274035913,-0.287350234,3,0.6,38
Movies/BigAnimals03_A2.mov,1.76648891,153,A005,Slide1,0.247110915,0.233864445,3,0.6,39
Movies/BigAnimals11_B3.mov,0.98235023,154,A005,Slide2,-0.007733649,-0.020913052,3,0.6,39
Movies/BigAnimals11_B3.mov,0.782173872,155,A005,Slide3,-0.106696695,-0.119809802,3,0.6,39
Movies/black.mov,0.315116137,156,A005,Blank,-0.501529356,-0.514576923,3,0.6,39
Movies/BigAnimals05_A3.mov,0.615539193,157,A005,Slide1,-0.210744289,-0.22372706,3,0.6,40
Movies/BigAnimals13_B4.mov,0.999136269,158,A005,Slide2,-0.000375276,-0.01329398,3,0.6,40
Movies/BigAnimals13_B4.mov,0.465252429,159,A005,Slide3,-0.332311351,-0.345166706,3,0.6,40
Movies/black.mov,0.41528976,160,A005,Blank,-0.381648778,-0.394441489,3,0.6,40
Movies/BigAnimals05_A3.mov,1.266114235,161,A005,Slide1,0.102472892,0.089742131,3,0.6,41
